Type,No,HBA,CAS,XHBA,MwHBA,0,-CH2-,>CH-,>C<,0,=CH-,>C=,>C=O,#NAME?,#NAME?,-COO-/-COO-,#NAME?,#NAME?,-O-/O-,#NAME?,NH4+,#REF!,0,>NH/>NH+-,#NAME?,>N<+/>N-,-SO2-,-S-,P=O,>P<+,#NAME?,-Cl/Cl-,Br-,Mm,H2O,-CH2-,>CH-,=CH-,>C=,>C<,>C=O,-O-,>NH,>N-,-N=,o-(ph),m-(ph),p-(ph),RC,SC,HBD,CAS,XHBD,MwHBD,0,-CH2-,>CH-,>C<,0,=CH-,>C=,>C=O,#NAME?,#NAME?,-COO-/-COO-,#NAME?,#NAME?,-O-/O-,#NAME?,NH4+,#REF!,0,>NH/>NH-+,0,>N<+/>N-,-SO2-,-S-,P=O,>P<+,#NAME?,-Cl/Cl-,Br-,Mm,H2O,-CH2-,>CH-,=CH-,>C=,>C<,>C=O,-O-,>NH,>N-,-N=,o-(ph),m-(ph),p-(ph),RC,SC,GI,GII,GIII,GIV,GV,Set,Ref.,T/K,Viscosity,Log viscosity
I,1,Zinc chloride,7646-85-7,0.667,136.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,130.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.333,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,training,[42],298.15,85000,11.35
II,2,Chromic chloride hexahydrate,10060-12-5,0.5,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.5,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],293.15,13085.4,9.48
II,3,Chromic chloride hexahydrate,10060-12-5,0.5,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.5,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],315.15,2475.7,7.81
II,4,Chromic chloride hexahydrate,10060-12-5,0.5,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.5,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],326.15,1195.3,7.09
II,5,Chromic chloride hexahydrate,10060-12-5,0.5,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.5,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],347.65,422.9,6.05
II,6,Chromic chloride hexahydrate,10060-12-5,0.6,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.4,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],293.15,7516.3,8.92
II,7,Chromic chloride hexahydrate,10060-12-5,0.6,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.4,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],315.15,1418.8,7.26
II,8,Chromic chloride hexahydrate,10060-12-5,0.6,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.4,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],326.15,727.8,6.59
II,9,Chromic chloride hexahydrate,10060-12-5,0.6,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.4,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],336.65,463.6,6.14
II,10,Chromic chloride hexahydrate,10060-12-5,0.6,266.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choline chloride,67-48-1,0.4,139.62,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,training,[22],347.65,260.3,5.56
