,n_estimators
-0.3567591259355373,10
-0.3226448696107803,20
-0.30216125939885313,30
-0.31489565087524685,40
-0.31496222231315996,50
-0.2906004925307555,60
-0.30177597515094157,70
-0.29407060722963907,80
-0.29991670466045894,90
-0.2984553517160415,100
-0.2898947689669554,110
-0.28987217440311913,120
-0.28737226661094584,130
-0.2971794100167468,140
-0.2960793158767673,150
-0.2871379845050195,160
-0.2963168288785949,170
-0.28968487873061155,180
-0.28591037834546695,190
-0.2986685410560412,200
-0.2871077816897194,210
-0.29192958421817145,220
-0.28871485341251657,230
-0.2965521571230064,240
-0.2965584038132385,250
-0.28972195479073826,260
-0.29354584594442434,270
-0.29644930957417975,280
-0.29030640026103616,290
-0.2967576137673215,300
-0.29059355511479884,310
-0.29130206122120683,320
-0.29713100021538474,330
-0.288850890878442,340
-0.28499859243062314,350
-0.2970910777598398,360
-0.2907578467555831,370
-0.2881117161275919,380
-0.29354341409464724,390
-0.28925502460206337,400
-0.28698771194396233,410
-0.29154574795034777,420
-0.2900088504823612,430
-0.28757065541181426,440
-0.28903378576065053,450
-0.29478093898489927,460
-0.28992628898110834,470
-0.2895024310536677,480
-0.29299701261362554,490
-0.2903304016532317,500
